participant_id,page_role,png_path,pdf_path
P036,page_selfreport,DATA\STAGING\respondent_036\PNG\EMHA20260109_13291414.png,DATA\STAGING\respondent_036\PDF\EMHA20260109_13283872.pdf
P036,page_drawing,DATA\STAGING\respondent_036\PNG\EMHA20260109_13295315.png,DATA\STAGING\respondent_036\PDF\EMHA20260109_13303207.pdf
P036,page_writing,DATA\STAGING\respondent_036\PNG\EMHA20260109_13315007.png,DATA\STAGING\respondent_036\PDF\EMHA20260109_13311134.pdf
P037,page_cover,DATA\STAGING\respondent_037\PNG\EMHA20260109_13371404.png,DATA\STAGING\respondent_037\PDF\EMHA20260109_13375249.pdf
P037,page_selfreport,DATA\STAGING\respondent_037\PNG\EMHA20260109_13460280.png,DATA\STAGING\respondent_037\PDF\EMHA20260109_13385093.pdf
P037,page_drawing,DATA\STAGING\respondent_037\PNG\EMHA20260109_13513741.png,DATA\STAGING\respondent_037\PDF\EMHA20260109_13522467.pdf
P037,page_writing,DATA\STAGING\respondent_037\PNG\EMHA20260109_14030543.png,DATA\STAGING\respondent_037\PDF\EMHA20260109_13590094.pdf
P038,page_cover,DATA\STAGING\respondent_038\PNG\EMHA20260109_14042354.png,DATA\STAGING\respondent_038\PDF\EMHA20260109_14045932.pdf
P038,page_selfreport,DATA\STAGING\respondent_038\PNG\EMHA20260109_14065066.png,DATA\STAGING\respondent_038\PDF\EMHA20260109_14061286.pdf
P038,page_drawing,DATA\STAGING\respondent_038\PNG\EMHA20260109_14074660.png,DATA\STAGING\respondent_038\PDF\EMHA20260109_14082069.pdf
P038,page_writing,DATA\STAGING\respondent_038\PNG\EMHA20260109_14130039.png,DATA\STAGING\respondent_038\PDF\EMHA20260109_14094749.pdf
P039,page_cover,DATA\STAGING\respondent_039\PNG\EMHA20260109_14172060.png,DATA\STAGING\respondent_039\PDF\EMHA20260109_14181198.pdf
P039,page_selfreport,DATA\STAGING\respondent_039\PNG\EMHA20260109_14200415.png,DATA\STAGING\respondent_039\PDF\EMHA20260109_14192604.pdf
P039,page_drawing,DATA\STAGING\respondent_039\PNG\EMHA20260109_14211305.png,DATA\STAGING\respondent_039\PDF\EMHA20260109_14221262.pdf
P039,page_writing,DATA\STAGING\respondent_039\PNG\EMHA20260109_14235209.png,DATA\STAGING\respondent_039\PDF\EMHA20260109_14231131.pdf
P040,page_cover,DATA\STAGING\respondent_040\PNG\EMHA20260109_14250266.png,DATA\STAGING\respondent_040\PDF\EMHA20260109_14254973.pdf
P040,page_selfreport,DATA\STAGING\respondent_040\PNG\EMHA20260109_14271031.png,DATA\STAGING\respondent_040\PDF\EMHA20260109_14263148.pdf
P040,page_drawing,DATA\STAGING\respondent_040\PNG\EMHA20260109_14275444.png,DATA\STAGING\respondent_040\PDF\EMHA20260109_14283353.pdf
P040,page_writing,DATA\STAGING\respondent_040\PNG\EMHA20260109_14300187.png,DATA\STAGING\respondent_040\PDF\EMHA20260109_14292342.pdf
P041,page_cover,DATA\STAGING\respondent_041\PNG\EMHA20260109_14310778.png,DATA\STAGING\respondent_041\PDF\EMHA20260109_14322018.pdf
P041,page_selfreport,DATA\STAGING\respondent_041\PNG\EMHA20260109_14335359.png,DATA\STAGING\respondent_041\PDF\EMHA20260109_14331372.pdf
P041,page_drawing,DATA\STAGING\respondent_041\PNG\EMHA20260109_14344118.png,DATA\STAGING\respondent_041\PDF\EMHA20260109_14352798.pdf
P041,page_writing,DATA\STAGING\respondent_041\PNG\EMHA20260109_14365364.png,DATA\STAGING\respondent_041\PDF\EMHA20260109_14361153.pdf
P042,page_cover,DATA\STAGING\respondent_042\PNG\EMHA20260109_14375628.png,DATA\STAGING\respondent_042\PDF\EMHA20260109_14383764.pdf
P042,page_selfreport,DATA\STAGING\respondent_042\PNG\EMHA20260109_14404059.png,DATA\STAGING\respondent_042\PDF\EMHA20260109_14395706.pdf
P042,page_drawing,DATA\STAGING\respondent_042\PNG\EMHA20260109_14413686.png,DATA\STAGING\respondent_042\PDF\EMHA20260109_14421860.pdf
P042,page_writing,DATA\STAGING\respondent_042\PNG\EMHA20260109_14440592.png,DATA\STAGING\respondent_042\PDF\EMHA20260109_14432530.pdf
P043,page_cover,DATA\STAGING\respondent_043\PNG\EMHA20260109_14451097.png,DATA\STAGING\respondent_043\PDF\EMHA20260109_14455232.pdf
P043,page_selfreport,DATA\STAGING\respondent_043\PNG\EMHA20260109_14472630.png,DATA\STAGING\respondent_043\PDF\EMHA20260109_14463376.pdf
P043,page_drawing,DATA\STAGING\respondent_043\PNG\EMHA20260109_14481623.png,DATA\STAGING\respondent_043\PDF\EMHA20260109_14485907.pdf
P043,page_writing,DATA\STAGING\respondent_043\PNG\EMHA20260109_14521440.png,DATA\STAGING\respondent_043\PDF\EMHA20260109_14495310.pdf
P044,page_cover,DATA\STAGING\respondent_044\PNG\EMHA20260109_15234209.png,DATA\STAGING\respondent_044\PDF\EMHA20260109_15243160.pdf
P044,page_selfreport,DATA\STAGING\respondent_044\PNG\EMHA20260109_15255399.png,DATA\STAGING\respondent_044\PDF\EMHA20260109_15251455.pdf
P044,page_drawing,DATA\STAGING\respondent_044\PNG\EMHA20260109_15264197.png,DATA\STAGING\respondent_044\PDF\EMHA20260109_15272178.pdf
P044,page_writing,DATA\STAGING\respondent_044\PNG\EMHA20260109_15285441.png,DATA\STAGING\respondent_044\PDF\EMHA20260109_15280972.pdf
P045,page_cover,DATA\STAGING\respondent_045\PNG\EMHA20260109_15302270.png,DATA\STAGING\respondent_045\PDF\EMHA20260109_15310353.pdf
P045,page_selfreport,DATA\STAGING\respondent_045\PNG\EMHA20260109_15323448.png,DATA\STAGING\respondent_045\PDF\EMHA20260109_15314927.pdf
P045,page_drawing,DATA\STAGING\respondent_045\PNG\EMHA20260109_15332264.png,DATA\STAGING\respondent_045\PDF\EMHA20260109_15341811.pdf
